Ethereum Historical Data - Investing.com(1)
Date;Price
Sep 03, 2019;178.81
Sep 02, 2019;178.11
Sep 01, 2019;169.72
Aug 31, 2019;171.62
Aug 30, 2019;168.16
Aug 29, 2019;168.66
Aug 28, 2019;172.85
Aug 27, 2019;186.58
Aug 26, 2019;188.34
Aug 25, 2019;186.30
Aug 24, 2019;190.15
Aug 23, 2019;193.43
Aug 22, 2019;190.29
Aug 21, 2019;187.24
Aug 20, 2019;196.14
Aug 19, 2019;201.64
Aug 18, 2019;193.68
Aug 17, 2019;184.81
Aug 16, 2019;184.55
Aug 15, 2019;187.80
Aug 14, 2019;186.56
Aug 13, 2019;207.68
Aug 12, 2019;210.45
Aug 11, 2019;215.83
Aug 10, 2019;205.93
Aug 09, 2019;209.49
Aug 08, 2019;220.16
Aug 07, 2019;224.66
Aug 06, 2019;225.63
Aug 05, 2019;232.45
Aug 04, 2019;220.72
Aug 03, 2019;220.89
Aug 02, 2019;216.54
Aug 01, 2019;216.37
Jul 31, 2019;217.23
Jul 30, 2019;208.49
Jul 29, 2019;209.82
Jul 28, 2019;210.37
Jul 27, 2019;206.62
Jul 26, 2019;217.83
Jul 25, 2019;217.65
Jul 24, 2019;215.44
Jul 23, 2019;211.87
Jul 22, 2019;217.27
Jul 21, 2019;225.01
Jul 20, 2019;227.86
Jul 19, 2019;220.09
Jul 18, 2019;225.23
Jul 17, 2019;210.95
Jul 16, 2019;198.87
Jul 15, 2019;228.49
Jul 14, 2019;226.62
Jul 13, 2019;269.16
Jul 12, 2019;274.68
Jul 11, 2019;268.72
Jul 10, 2019;289.10
Jul 09, 2019;307.41
Jul 08, 2019;312.23
Jul 07, 2019;304.88
Jul 06, 2019;288.08
Jul 05, 2019;287.15
Jul 04, 2019;283.43
Jul 03, 2019;300.58
Jul 02, 2019;291.41
Jul 01, 2019;294.83
Jun 30, 2019;292.21
Jun 29, 2019;318.48
Jun 28, 2019;310.56
Jun 27, 2019;297.55
Jun 26, 2019;338.54
Jun 25, 2019;317.65
Jun 24, 2019;311.46
Jun 23, 2019;308.53
Jun 22, 2019;310.38
Jun 21, 2019;294.72
Jun 20, 2019;271.43
Jun 19, 2019;268.26
Jun 18, 2019;264.59
Jun 17, 2019;273.00
Jun 16, 2019;267.98
Jun 15, 2019;267.75
