,etherscan,opensea,owned,ethereums_spent,dollar_spent,ethereums_earned,dollar_earned,First_punk,Last_punk
2079,0x713282,0,1,43.33,148248.0,0.0,0.0,"Mar 1, 2021","Mar 1, 2021"
2080,0xa1311f,0,1,95.0,325029.0,0.0,0.0,none,none
2081,0xdba893,0,1,0.0,0.0,0.0,0.0,"Jun 30, 2021","Jun 30, 2021"
2082,0xf74887,0,1,134.52,460241.0,248.2,849182.0,"Aug 2, 2021","Aug 23, 2021"
2083,0xfba647,0,1,62.47,213732.0,42.0,143697.0,"Mar 2, 2021","Mar 2, 2021"
2084,0xb08942,0,1,139.0,475569.0,0.0,0.0,none,none
2085,0xa7499a,0,1,21.0,71849.0,0.0,0.0,"May 4, 2021","May 4, 2021"
2086,0xc30be7,0,1,22.5,76981.0,0.0,0.0,"Mar 16, 2021","Mar 16, 2021"
2087,0x996290,0,1,7.49,25626.0,0.0,0.0,"Jan 26, 2021","Jan 26, 2021"
2088,0xdf9c93,0,1,0.0,0.0,0.0,0.0,"Jan 30, 2021","Jan 30, 2021"
2089,0x1b32fc,0,1,20.1,68769.0,0.0,0.0,"Mar 8, 2021","Mar 8, 2021"
2090,0xcb2e10,0,1,65.0,222388.0,0.0,0.0,"Aug 23, 2021","Aug 23, 2021"
2091,0x412714,0,1,0.0,0.0,0.0,0.0,"May 25, 2021","May 25, 2021"
2092,0xca105c,0,1,3.39,11598.0,2.75,9409.0,"Aug 27, 2020","Aug 27, 2020"
2093,0xf8196c,0,1,39.89,136478.0,0.0,0.0,"Aug 5, 2021","Aug 5, 2021"
2094,0x487421,0,1,51.0,174489.0,36.0,123169.0,"Aug 6, 2021","Aug 6, 2021"
2095,0xd16b14,0,1,56.69,193957.0,0.0,0.0,"Aug 5, 2021","Aug 5, 2021"
2096,0xd96d9d,0,1,0.0,0.0,0.0,0.0,"Jul 9, 2019","Jul 9, 2019"
2097,0xe63b7f,0,1,6.0,20528.0,0.0,0.0,"Jan 27, 2021","Jan 27, 2021"
2098,0xa876e2,0,1,0.61,2087.0,0.0,0.0,"May 4, 2020","May 4, 2020"
2099,0x62fe39,0,1,1.18,4037.0,0.0,0.0,"Jun 9, 2020","Jun 9, 2020"
2100,0xe6030d,0,1,0.0,0.0,0.0,0.0,none,none
2101,0x55e149,0,1,137.75,471292.0,206.98,708153.0,"Feb 15, 2021","Feb 15, 2021"
2102,0x2f6714,0,1,98.37,336559.0,68.0,232652.0,"Aug 8, 2021","Aug 8, 2021"
2103,0x95f4b3,0,1,0.0,0.0,0.0,0.0,"Aug 6, 2021","Aug 6, 2021"
2104,0xa9d3c4,0,1,76.9,263103.0,99.85,341623.0,"Aug 18, 2021","Aug 18, 2021"
2105,0x7e9045,0,1,28.0,95798.0,0.0,0.0,"Feb 22, 2021","Feb 22, 2021"
2106,0xc31afe,0,1,0.0,0.0,0.0,0.0,"Nov 10, 2020","Nov 10, 2020"
2107,0xe48ab5,0,1,46.0,157383.0,0.0,0.0,"Jul 31, 2021","Jul 31, 2021"
2108,0xf42a33,0,1,58.0,198439.0,0.0,0.0,"Aug 21, 2021","Aug 21, 2021"
2109,0x285901,0,1,94.0,321608.0,0.0,0.0,none,none
2110,0xc5f597,0,1,45.0,153961.0,22.0,75294.0,"Jul 29, 2021","Jul 29, 2021"
2111,0xc1bdab,0,1,165.2,565209.0,0.0,0.0,none,none
2112,0xb23fb4,0,1,26.0,88955.0,0.0,0.0,"Mar 11, 2021","Mar 11, 2021"
2113,0x88063f,0,1,50.5,172779.0,0.0,0.0,"Aug 8, 2021","Aug 8, 2021"
2114,0xa83fa9,0,1,64.0,218967.0,28.0,95798.0,"Mar 11, 2021","Mar 11, 2021"
2115,0x07adba,0,1,15.55,53202.0,0.0,0.0,"Feb 21, 2021","Feb 21, 2021"
2116,0x997aff,1,1,6.5,22239.0,0.0,0.0,"May 13, 2021","May 13, 2021"
2117,0x722645,0,1,0.0,0.0,0.0,0.0,none,none
2118,0xe7a806,0,1,23.5,80402.0,0.0,0.0,"May 3, 2021","May 3, 2021"
2119,0xe5027d,0,1,0.0,0.0,0.0,0.0,"Feb 22, 2021","Feb 22, 2021"
